+-------+--------------------------------+----------------+-------+
|   #   | User Name                      | Boulder/routes |   %   |
|  323  | bennykuttler                   |       81       | 0.030 |
|  324  | steelcity                      |       81       | 0.030 |
|  325  | Pantosti_met_kaas              |       80       | 0.030 |
|  326  | Rocca                          |       80       | 0.030 |
|  327  | cevans20                       |       80       | 0.030 |
|  328  | cknight09                      |       80       | 0.030 |
|  329  | englewoodipad1                 |       80       | 0.030 |
|  330  | rockiss                        |       80       | 0.030 |
|  331  | foukbass                       |       79       | 0.029 |
|  332  | hiboulder                      |       79       | 0.029 |
|  333  | lemeeer                        |       79       | 0.029 |
|  334  | pgfv                           |       79       | 0.029 |
|  335  | quiggles18                     |       79       | 0.029 |
|  336  | Timmes                         |       78       | 0.029 |
|  337  | d_connor                       |       78       | 0.029 |
|  338  | jchongsends                    |       78       | 0.029 |
|  339  | tlandman                       |       78       | 0.029 |
|  340  | JamieBarendrecht               |       77       | 0.029 |
|  341  | ZingerIsHere                   |       77       | 0.029 |
|  342  | alfyrmdzn                      |       77       | 0.029 |
|  343  | haneulon                       |       77       | 0.029 |
|  344  | jspoe                          |       77       | 0.029 |
|  345  | peterhayssen                   |       77       | 0.029 |
|  346  | radar707                       |       77       | 0.029 |
|  347  | samgtmeyer                     |       77       | 0.029 |
|  348  | sharmaclimbingmadrid           |       77       | 0.029 |
|  349  | Darkboss                       |       76       | 0.028 |
|  350  | GusCarter                      |       76       | 0.028 |
|  351  | Sirmatt279                     |       76       | 0.028 |
|  352  | cheeto_dude                    |       76       | 0.028 |
|  353  | texas_tickler                  |       76       | 0.028 |
|  354  | CCF                            |       75       | 0.028 |
|  355  | connor.kainalu                 |       75       | 0.028 |
|  356  | goatybeef                      |       75       | 0.028 |
|  357  | jkarban                        |       75       | 0.028 |
|  358  | mayanswall                     |       75       | 0.028 |
|  359  | stenvold                       |       75       | 0.028 |
|  360  | ANWC                           |       74       | 0.027 |
|  361  | HugodeServed                   |       74       | 0.027 |
|  362  | Medcean                        |       74       | 0.027 |
|  363  | TomShpakow                     |       74       | 0.027 |
|  364  | confortbenoit                  |       74       | 0.027 |
|  365  | pauldelal                      |       74       | 0.027 |
|  366  | whatdoesrayclimb               |       74       | 0.027 |
|  367  | Adrenaline.Factory             |       73       | 0.027 |
|  368  | LeManKar                       |       73       | 0.027 |
|  369  | Steamroy                       |       73       | 0.027 |
|  370  | Tatjana                        |       73       | 0.027 |
|  371  | bensmart                       |       73       | 0.027 |
|  372  | bkozina                        |       73       | 0.027 |
|  373  | canyonbryson                   |       73       | 0.027 |
|  374  | jfnfbbf                        |       73       | 0.027 |
|  375  | lloyd5270                      |       73       | 0.027 |
|  376  | lplatter                       |       73       | 0.027 |
|  377  | swordboy20                     |       73       | 0.027 |
|  378  | whitehawk                      |       73       | 0.027 |
|  379  | 331578229                      |       72       | 0.027 |
|  380  | Domiclimbs                     |       72       | 0.027 |
|  381  | KalebBeeebebe                  |       72       | 0.027 |
|  382  | RJClimbs                       |       72       | 0.027 |
|  383  | SeamusKane                     |       72       | 0.027 |
|  384  | sdpearce                       |       72       | 0.027 |
|  385  | thatclimber                    |       72       | 0.027 |
|  386  | Herbert1                       |       71       | 0.026 |
|  387  | Josepp                         |       71       | 0.026 |
|  388  | Mingho                         |       71       | 0.026 |
|  389  | benje                          |       71       | 0.026 |
|  390  | hwilly                         |       71       | 0.026 |
|  391  | johnnybe                       |       71       | 0.026 |
|  392  | lucaReymann                    |       71       | 0.026 |
|  393  | noahkupcho                     |       71       | 0.026 |
|  394  | 000_GenZr0                     |       70       | 0.026 |
|  395  | 9dlclanecove                   |       70       | 0.026 |
|  396  | ARCBoulderLeague2              |       70       | 0.026 |
|  397  | AidanP                         |       70       | 0.026 |
|  398  | IcyPeachy                      |       70       | 0.026 |
|  399  | Lucas                          |       70       | 0.026 |
|  400  | NiklasBr                       |       70       | 0.026 |
|  401  | TomBakkum                      |       70       | 0.026 |
|  402  | beastfingersclimbing           |       70       | 0.026 |
|  403  | crimsonxholic                  |       70       | 0.026 |
|  404  | deoboulders                    |       70       | 0.026 |
|  405  | makita_marv                    |       70       | 0.026 |
|  406  | max_rav                        |       70       | 0.026 |
|  407  | ndewhirst                      |       70       | 0.026 |
|  408  | AlexT                          |       69       | 0.026 |
|  409  | Arpio                          |       69       | 0.026 |
|  410  | ldall03                        |       69       | 0.026 |
|  411  | ryotaroro                      |       69       | 0.026 |
|  412  | stateclimb                     |       69       | 0.026 |
|  413  | theguycob                      |       69       | 0.026 |
|  414  | JasperDudley                   |       68       | 0.025 |
|  415  | Odentheclimber                 |       68       | 0.025 |
|  416  | josh8far                       |       68       | 0.025 |
|  417  | kin_onn                        |       68       | 0.025 |
|  418  | rockclimbthis                  |       68       | 0.025 |
|  419  | vincentvanderpas               |       68       | 0.025 |
|  420  | zakferguson                    |       68       | 0.025 |
|  421  | MaxJackson94                   |       67       | 0.025 |
|  422  | PrecisionClimbing              |       67       | 0.025 |
|  423  | VadimDelakian                  |       67       | 0.025 |
|  424  | acabacus                       |       67       | 0.025 |
|  425  | jojobuddy                      |       67       | 0.025 |
|  426  | juliancr                       |       67       | 0.025 |
|  427  | larsonjuda                     |       67       | 0.025 |
|  428  | nlun                           |       67       | 0.025 |
|  429  | rexhavoc                       |       67       | 0.025 |
|  430  | thort                          |       67       | 0.025 |
|  431  | whitedogturd                   |       67       | 0.025 |
|  432  | 66Luki                         |       66       | 0.024 |
|  433  | Doc_Bumblebee                  |       66       | 0.024 |
|  434  | Lewin                          |       66       | 0.024 |
|  435  | Orianabras                     |       66       | 0.024 |
|  436  | SamplesJ21                     |       66       | 0.024 |
|  437  | Suyang                         |       66       | 0.024 |
|  438  | TristynButler                  |       66       | 0.024 |
|  439  | blooober                       |       66       | 0.024 |
|  440  | kuckkuck                       |       66       | 0.024 |
|  441  | welmore                        |       66       | 0.024 |
