+------+--------------------------------+-----------------+--------+
|  #   | User Name                      | Uploaded Videos |   %    |
| 188  | bong.rita                      | 21              | 0.074  |
| 189  | chris_ol2board                 | 21              | 0.074  |
| 190  | daniel.chrzanowski             | 21              | 0.074  |
| 191  | ivanclimbs                     | 21              | 0.074  |
| 192  | juliabobak                     | 21              | 0.074  |
| 193  | kiltering_under_tension        | 21              | 0.074  |
| 194  | senatorwigs                    | 21              | 0.074  |
| 195  | slatersince95                  | 21              | 0.074  |
| 196  | wang_yuexuan625                | 21              | 0.074  |
| 197  | adcoelho                       | 20              | 0.070  |
| 198  | alastor0325                    | 20              | 0.070  |
| 199  | beefyluigi                     | 20              | 0.070  |
| 200  | bouldersgallery                | 20              | 0.070  |
| 201  | climbonsister                  | 20              | 0.070  |
| 202  | hanovonocore                   | 20              | 0.070  |
| 203  | jerryv_boardaccount            | 20              | 0.070  |
| 204  | kbk_617                        | 20              | 0.070  |
| 205  | lim_seungwon0119               | 20              | 0.070  |
| 206  | marchevvspina                  | 20              | 0.070  |
| 207  | sarahboardclimbs               | 20              | 0.070  |
| 208  | ssun_9li                       | 20              | 0.070  |
| 209  | the11thfloorhomewall           | 20              | 0.070  |
| 210  | woodythekilter                 | 20              | 0.070  |
| 211  | 2jin_kind                      | 19              | 0.067  |
| 212  | _beta.boxers_                  | 19              | 0.067  |
| 213  | _skjeong                       | 19              | 0.067  |
| 214  | andriu_board_account           | 19              | 0.067  |
| 215  | armel_edern                    | 19              | 0.067  |
| 216  | board_cords                    | 19              | 0.067  |
| 217  | jannik.ffm                     | 19              | 0.067  |
| 218  | masahirohiramori               | 19              | 0.067  |
| 219  | poptart.pectorals              | 19              | 0.067  |
| 220  | preston_da_climba              | 19              | 0.067  |
| 221  | ray_bizzz                      | 19              | 0.067  |
| 222  | tinyboardroom                  | 19              | 0.067  |
| 223  | avi_climbs                     | 18              | 0.063  |
| 224  | b.roggg                        | 18              | 0.063  |
| 225  | bananaclimb                    | 18              | 0.063  |
| 226  | board_boulders                 | 18              | 0.063  |
| 227  | climbdrew.boarddaddy           | 18              | 0.063  |
| 228  | climbingtamago                 | 18              | 0.063  |
| 229  | hyoboru_climbing               | 18              | 0.063  |
| 230  | jereclimbs                     | 18              | 0.063  |
| 231  | johnnie_gwang                  | 18              | 0.063  |
| 232  | kilter_benchmarks_             | 18              | 0.063  |
| 233  | kilter_fernfury                | 18              | 0.063  |
| 234  | kilterdad                      | 18              | 0.063  |
| 235  | linguine_ligaments             | 18              | 0.063  |
| 236  | thosearentholds                | 18              | 0.063  |
| 237  | 3amzingbetas                   | 17              | 0.060  |
| 238  | anotherboardaccount            | 17              | 0.060  |
| 239  | apeboulder                     | 17              | 0.060  |
| 240  | climb_deoldeol2                | 17              | 0.060  |
| 241  | climb_lsh                      | 17              | 0.060  |
| 242  | daniel_boulders                | 17              | 0.060  |
| 243  | giffordyap                     | 17              | 0.060  |
| 244  | glen_eagle_grasshopper         | 17              | 0.060  |
| 245  | gyuyeon.climber                | 17              | 0.060  |
| 246  | heky_lee                       | 17              | 0.060  |
| 247  | j3.1415926535897932384         | 17              | 0.060  |
| 248  | kairos_climber                 | 17              | 0.060  |
| 249  | minclimblog                    | 17              | 0.060  |
| 250  | mr_viv_on_kilter               | 17              | 0.060  |
| 251  | theclamchowder                 | 17              | 0.060  |
| 252  | vbluejin                       | 17              | 0.060  |
| 253  | why_is_climbing_so_hard        | 17              | 0.060  |
| 254  | bobaboard.kilter               | 16              | 0.056  |
| 255  | boulderartificiel              | 16              | 0.056  |
| 256  | cocopam0804                    | 16              | 0.056  |
| 257  | dry.erase.boarding             | 16              | 0.056  |
| 258  | fueledbybingsu                 | 16              | 0.056  |
| 259  | jstreet_boardaccount           | 16              | 0.056  |
| 260  | jw.climb                       | 16              | 0.056  |
| 261  | kilterbois                     | 16              | 0.056  |
| 262  | kim_gucc1                      | 16              | 0.056  |
