+-----+---------+--------------+-----------+----+----+-------+
|  #  | hold_id | placement_id | hold_role | x  | y  | count |
| 139 |   1574  |     1103     |     12    | 33 | 3  |  142  |
| 140 |   1642  |     1225     |     12    | 39 | 17 |  243  |
| 141 |   1220  |     1227     |     12    | 9  | 19 |  194  |
| 142 |   1404  |     1098     |     12    | 23 | 3  |  178  |
| 143 |   1232  |     1091     |     12    | 9  | 3  |  159  |
| 144 |   1233  |     1092     |     12    | 11 | 3  |  131  |
| 145 |   1526  |     1516     |     12    | 32 | 14 |  267  |
| 146 |   1633  |     1123     |     12    | 39 | 5  |  522  |
| 147 |   1300  |     1213     |     12    | 15 | 17 |  257  |
| 148 |   1229  |     1125     |     12    | 9  | 7  |  1758 |
| 149 |   1572  |     1120     |     12    | 33 | 5  |  624  |
| 150 |   1359  |     1232     |     12    | 19 | 19 |  256  |
| 151 |   1346  |     1095     |     12    | 17 | 3  |  240  |
| 152 |   1290  |     1094     |     12    | 15 | 3  |  133  |
| 153 |   1502  |     1271     |     12    | 29 | 23 |  144  |
| 154 |   1291  |     1111     |     12    | 15 | 5  |  400  |
| 155 |   1176  |     1158     |     12    | 7  | 11 |  637  |
| 156 |   1533  |     1272     |     12    | 31 | 23 |   57  |
| 157 |   1624  |     1509     |     12    | 38 | 12 |  132  |
| 158 |   1223  |     1193     |     12    | 9  | 15 |  479  |
| 159 |   1503  |     1254     |     12    | 29 | 21 |  222  |
| 160 |   1295  |     1494     |     12    | 16 | 10 |  159  |
| 161 |   1277  |     1229     |     12    | 13 | 19 |  193  |
| 162 |   1177  |     1501     |     12    | 6  | 12 |   84  |
| 163 |   1299  |     1196     |     12    | 15 | 15 |  883  |
| 164 |   1647  |     1276     |     12    | 39 | 23 |  102  |
| 165 |   1235  |     1475     |     12    | 12 | 6  |   25  |
| 166 |   1292  |     1476     |     12    | 16 | 6  |  125  |
| 167 |   1530  |     1238     |     12    | 31 | 19 |  188  |
| 168 |   1449  |     1218     |     12    | 25 | 17 |  356  |
| 169 |   1507  |     1525     |     12    | 30 | 16 |  173  |
| 170 |   1335  |     1214     |     12    | 17 | 17 |  592  |
| 171 |   1345  |     1468     |     12    | 18 | 4  |   38  |
| 172 |   1238  |     1493     |     12    | 12 | 10 |  124  |
| 173 |   1451  |     1201     |     12    | 25 | 15 |  1061 |
| 174 |   1584  |     1206     |     12    | 35 | 15 |  441  |
| 175 |   1406  |     1478     |     12    | 24 | 6  |  132  |
| 176 |   1476  |     1270     |     12    | 27 | 23 |   91  |
| 177 |   1392  |     1216     |     12    | 21 | 17 |  661  |
| 178 |   1593  |     1308     |     12    | 35 | 27 |   82  |
| 179 |   1531  |     1255     |     12    | 31 | 21 |  131  |
| 180 |   1620  |     1224     |     12    | 37 | 17 |  227  |
| 181 |   1563  |     1222     |     12    | 33 | 17 |  462  |
| 182 |   1409  |     1496     |     12    | 24 | 10 |  240  |
| 183 |   1446  |     1252     |     12    | 25 | 21 |  141  |
| 184 |   1285  |     1485     |     12    | 14 | 8  |  161  |
| 185 |   1396  |     1505     |     12    | 22 | 12 |  140  |
| 186 |   1170  |     1107     |     12    | 7  | 5  |  387  |
| 187 |   1386  |     1284     |     12    | 21 | 25 |   67  |
| 188 |   1172  |     1124     |     12    | 7  | 7  |  1313 |
| 189 |   1500  |     1288     |     12    | 29 | 25 |   38  |
| 190 |   1275  |     1246     |     12    | 13 | 21 |  228  |
| 191 |   1469  |     1515     |     12    | 28 | 14 |  274  |
| 192 |   1389  |     1250     |     12    | 21 | 21 |  243  |
| 193 |   1412  |     1514     |     12    | 24 | 14 |  347  |
| 194 |   1591  |     1291     |     12    | 35 | 25 |   36  |
| 195 |   1619  |     1241     |     12    | 37 | 19 |  260  |
| 196 |   1641  |     1208     |     12    | 39 | 15 |  301  |
| 197 |   1513  |     1489     |     12    | 30 | 8  |   97  |
| 198 |   1461  |     1100     |     12    | 27 | 3  |  166  |
| 199 |   1371  |     1385     |     12    | 19 | 37 |   9   |
| 200 |   1428  |     1387     |     12    | 23 | 37 |   11  |
| 201 |   1150  |     1081     |     12    | 23 | 1  |   27  |
| 202 |   1333  |     1540     |     12    | 18 | 20 |   59  |
| 203 |   1181  |     1519     |     12    | 6  | 16 |   79  |
| 204 |   1575  |     1104     |     12    | 35 | 3  |  116  |
